ENTREZID	ENSEMBL	SYMBOL	SRR1554534	SRR1554535	SRR1554568	SRR1554561	SRR1554567	SRR1554536	SRR1554541	SRR1554539	SRR1554538	SRR1554537
1	ENSG00000121410	A1BG	444	378	328	650	146	114	592	295	275	518
10	ENSG00000156006	NAT2	11	8	4	0	8	0	8	8	12	4
100	ENSG00000196839	ADA	299	658	161	229	225	291	382	265	354	160
1000	ENSG00000170558	CDH2	7384	10623	43926	11016	52746	3270	44244	10639	47354	52346
10000	ENSG00000117020	AKT3	6837	7391	90930	13677	36246	937	74768	18216	48565	79685
10000	ENSG00000275199	AKT3	6837	7391	90930	13677	36246	937	74768	18216	48565	79685
100008586	ENSG00000236362	GAGE12F	0	0	0	0	0	0	0	0	0	0
100008587	ENSG00000274917	RNA5-8SN5	0	0	0	0	0	0	0	0	0	0
100008588	NA	RNA18SN5	0	0	0	0	0	0	0	0	0	0
100008589	NA	RNA28SN5	0	0	0	0	0	0	0	0	0	0
100009613	NA	LINC02584	0	0	0	0	0	0	0	1	0	0
100009676	ENSG00000256628	ZBTB11-AS1	149	170	218	133	363	53	375	172	331	301
10001	ENSG00000133997	MED6	1319	1842	2726	1624	3939	377	4402	1863	4271	3075
10002	ENSG00000278570	NR2E3	11	35	40	18	62	6	78	23	54	61
10003	ENSG00000077616	NAALAD2	905	1611	576	1295	2933	308	2012	1973	1830	623
10003	ENSG00000285516	NAALAD2	905	1611	576	1295	2933	308	2012	1973	1830	623
100033413	ENSG00000207063	SNORD116-1	3	3	7	2	10	7	11	2	27	9
100033414	ENSG00000207001	SNORD116-2	5	0	5	1	16	0	6	0	11	4
100033415	ENSG00000207014	SNORD116-3	0	0	0	0	2	0	0	0	5	1
100033416	ENSG00000275529	SNORD116-4	40	30	111	72	101	8	83	29	165	92
100033417	ENSG00000207191	SNORD116-5	0	0	2	1	1	0	1	1	1	0
100033418	ENSG00000207442	SNORD116-6	5	2	3	1	1	0	2	6	10	2
100033419	ENSG00000207133	SNORD116-7	2	2	2	0	4	0	0	0	13	3
100033420	ENSG00000207093	SNORD116-8	0	1	5	0	5	0	4	0	3	5
100033421	ENSG00000206727	SNORD116-9	3	7	3	5	3	1	5	4	0	2
100033422	ENSG00000200661	SNORD116-10	0	0	0	0	0	0	0	0	1	0
100033423	ENSG00000206609	SNORD116-11	0	0	0	0	0	0	0	0	0	0
100033424	ENSG00000207197	SNORD116-12	2	15	0	21	0	2	4	17	7	7
100033425	ENSG00000207137	SNORD116-13	9	2	0	0	3	1	8	1	7	10
100033426	ENSG00000206621	SNORD116-14	5	3	5	0	3	0	4	1	3	5
100033427	ENSG00000207174	SNORD116-15	3	3	4	1	7	0	4	2	4	7
100033428	ENSG00000207263	SNORD116-16	0	0	1	3	0	0	1	0	3	1
100033429	ENSG00000206656	SNORD116-17	0	0	3	0	0	0	0	1	0	0
100033430	ENSG00000206688	SNORD116-18	2	2	0	0	2	0	2	2	4	1
100033431	ENSG00000278715	SNORD116-20	4	4	37	15	52	15	27	6	51	42
100033432	ENSG00000277785	SNORD116-21	7	0	38	14	53	2	44	14	52	46
100033433	ENSG00000275127	SNORD116-22	3	10	19	2	14	0	6	11	23	14
100033434	ENSG00000207375	SNORD116-23	0	7	0	0	5	0	4	8	11	7
100033435	ENSG00000207279	SNORD116-24	0	1	20	3	32	0	26	25	42	6
100033436	ENSG00000252326	SNORD116-25	0	0	1	0	4	2	10	2	4	0
100033437	ENSG00000199712	SNORD115-2	5	0	2	0	0	0	0	0	2	0
100033438	ENSG00000251815	SNORD116-26	0	5	3	0	14	2	11	15	22	2
100033439	ENSG00000251896	SNORD116-27	1	17	6	2	13	3	28	39	11	16
100033440	ENSG00000199970	SNORD115-3	0	1	0	0	0	0	1	0	0	0
100033441	ENSG00000200680	SNORD115-4	3	5	0	4	3	0	4	6	2	0
100033442	ENSG00000200503	SNORD115-5	0	1	0	1	0	0	1	2	0	0
100033443	ENSG00000200812	SNORD115-6	0	0	0	2	0	0	0	0	0	1
100033444	ENSG00000278089	SNORD115-7	0	0	0	1	0	0	0	0	0	0
100033445	ENSG00000200726	SNORD115-8	0	0	0	0	0	0	0	2	0	0
100033446	ENSG00000199782	SNORD115-9	0	0	0	0	0	0	0	0	0	0
100033447	ENSG00000201943	SNORD115-10	0	0	0	0	0	0	0	0	0	0
100033448	ENSG00000200486	SNORD115-11	0	0	0	1	0	0	1	0	0	0
100033449	ENSG00000199453	SNORD115-12	1	0	1	0	0	1	1	1	0	2
100033450	ENSG00000273835	SNORD115-13	23	9	2	36	4	0	16	24	9	8
100033451	ENSG00000199960	SNORD115-14	0	1	0	9	0	1	0	1	0	0
100033453	ENSG00000201679	SNORD115-15	0	0	0	0	0	0	0	0	0	0
100033454	ENSG00000200757	SNORD115-16	0	0	0	0	0	0	0	0	0	0
100033455	ENSG00000201482	SNORD115-17	0	2	0	0	0	0	0	0	0	0
100033456	ENSG00000200163	SNORD115-18	0	0	0	0	0	0	0	0	0	0
100033458	ENSG00000199968	SNORD115-19	0	0	0	0	0	0	0	0	0	0
100033460	ENSG00000201969	SNORD115-20	15	7	1	21	1	2	12	10	8	3
100033603	ENSG00000199833	SNORD115-21	5	5	1	5	4	0	0	5	1	5
100033799	ENSG00000201326	SNORD115-22	5	14	0	6	2	0	5	5	1	1
100033800	ENSG00000201331	SNORD115-23	0	0	0	0	0	0	0	0	0	0
100033801	ENSG00000199489	SNORD115-25	0	0	0	4	0	0	5	3	0	0
100033802	ENSG00000275524	SNORD115-26	2	6	2	15	6	0	16	8	3	3
100033803	ENSG00000199704	SNORD115-29	0	0	0	0	0	0	2	0	0	0
100033804	ENSG00000200987	SNORD115-30	0	0	0	0	0	0	0	0	0	0
100033805	ENSG00000202188	SNORD115-31	2	0	0	0	1	0	1	8	0	0
100033806	ENSG00000200949	SNORD115-32	0	4	0	2	0	0	0	2	3	0
100033807	ENSG00000200593	SNORD115-33	0	0	0	2	0	0	0	0	0	0
100033808	ENSG00000199311	SNORD115-34	0	0	2	0	0	0	0	0	0	0
100033809	ENSG00000201992	SNORD115-35	0	7	2	9	0	4	0	4	0	1
100033810	ENSG00000202499	SNORD115-36	0	1	0	0	0	0	0	2	1	0
100033811	ENSG00000200638	SNORD115-37	0	2	0	0	0	2	0	0	4	0
100033812	ENSG00000201907	SNORD115-38	0	0	0	0	0	0	0	0	0	0
100033813	ENSG00000200564	SNORD115-39	0	3	0	1	0	0	0	0	0	0
100033814	ENSG00000272460	SNORD115-40	2	0	0	0	0	1	0	0	0	1
100033815	ENSG00000200478	SNORD115-41	0	1	1	5	2	0	0	0	0	0
100033816	ENSG00000201143	SNORD115-42	0	0	0	0	0	0	0	0	0	0
100033817	ENSG00000202373	SNORD115-43	0	0	0	0	1	0	0	0	0	0
100033818	ENSG00000202261	SNORD115-44	0	0	0	0	0	0	3	0	5	0
100033819	ENSG00000284010	MIR675	0	0	0	0	0	0	0	0	0	0
100033819	ENSG00000288367	MIR675	0	0	0	0	0	0	0	0	0	0
100033820	ENSG00000278123	SNORD116-28	0	0	13	4	6	0	11	3	31	12
100033821	ENSG00000207245	SNORD116-29	0	2	1	4	2	0	3	2	1	0
100033822	ENSG00000201634	SNORD115-48	0	0	0	2	1	0	0	0	0	0
100036519	NA	NA	0	1	1	2	4	0	1	2	1	0
100036563	ENSG00000200398	SNORD115-24	0	3	0	0	0	0	0	0	0	0
100036564	ENSG00000201300	SNORD115-27	0	4	0	0	0	0	0	0	0	0
100036565	ENSG00000200801	SNORD115-28	0	0	0	1	0	0	0	0	0	0
100036566	NA	SNORD115-45	20	26	10	19	35	2	44	33	17	16
100036567	NA	SNORD115-47	0	0	1	0	2	0	1	0	0	0
100037417	ENSG00000099974	DDTL	102	210	167	138	325	71	218	130	433	206
100037417	ENSG00000099977	DDTL	102	210	167	138	325	71	218	130	433	206
100037417	ENSG00000275758	DDTL	102	210	167	138	325	71	218	130	433	206
100037417	ENSG00000275003	DDTL	102	210	167	138	325	71	218	130	433	206
100038246	ENSG00000236311	TLX1NB	0	0	0	0	0	0	0	0	0	0
10004	ENSG00000168060	NAALADL1	82	106	99	83	260	105	166	80	245	166
100048912	ENSG00000240498	CDKN2B-AS1	6	15	7	15	18	8	0	39	23	2
100049076	NA	GUSBP17	7	8	93	9	189	0	124	5	387	58
100049587	ENSG00000254415	SIGLEC14	12	19	45	11	24	2	15	19	40	29
100049615	NA	NA	0	0	0	0	1	0	4	0	0	0
100049716	ENSG00000177406	NINJ2-AS1	320	620	315	286	472	324	570	353	302	295
10005	ENSG00000101473	ACOT8	2919	3531	1906	4273	2177	594	2402	2487	2408	2194
10006	ENSG00000136754	ABI1	7088	13760	8719	10636	13969	3899	15022	11052	13684	10377
10007	ENSG00000113552	GNPDA1	2874	5444	5360	4903	5824	1072	5253	3875	6866	5489
100073347	ENSG00000268654	MIMT1	223	54	583	58	490	63	465	383	248	185
10008	ENSG00000175538	KCNE3	98	121	208	127	314	103	187	233	350	225
10009	ENSG00000177485	ZBTB33	2019	4017	11524	3129	14359	749	15332	4521	17957	14448
100093630	ENSG00000269893	SNHG8	1386	2153	2341	1500	3165	1182	3886	1779	2916	4157
100093631	ENSG00000233369	GTF2IP4	436	505	1098	293	1429	180	890	400	1401	793
1001	ENSG00000062038	CDH3	723	336	1257	864	2096	141	2873	443	2135	3724
10010	ENSG00000136560	TANK	1309	2872	6686	1676	6470	766	5570	2178	5708	4357
100101115	ENSG00000237563	TTTY21B	0	0	0	0	0	0	0	0	0	0
100101116	ENSG00000129816	TTTY1B	0	0	0	0	0	0	0	0	0	0
100101117	NA	TTTY2B	0	1	0	0	0	0	0	0	0	0
100101118	ENSG00000185700	TTTY8B	0	0	0	0	0	0	0	0	0	0
100101120	ENSG00000147761	TTTY7B	0	0	0	0	0	0	0	0	0	0
100101121	ENSG00000250204	TTTY23B	0	0	0	0	0	0	0	0	0	0
100101266	ENSG00000268442	HAVCR1P1	44	24	174	42	336	44	209	53	275	185
100101267	ENSG00000272391	POM121C	3078	3078	5615	5423	5693	546	6249	3425	6313	5763
100101467	ENSG00000186814	ZSCAN30	1407	2763	8685	1723	9598	777	8601	2246	11207	7303
100101490	ENSG00000101898	MCTS2P	202	348	995	310	1420	77	1644	315	1347	934
100101938	ENSG00000237636	ANKRD26P3	6	14	0	27	1	0	0	2	0	1
10011	ENSG00000213523	SRA1	2330	3082	5627	2980	6214	1012	5862	1972	6119	5825
