"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SRR1554534","SRR1554535","SRR1554568","SRR1554561","SRR1554567","SRR1554536","SRR1554541","SRR1554539","SRR1554538","SRR1554537"
"A2M",13185.383185407,-1.67067950042365,0.420489372617963,-3.97317889396826,7.09197437937615e-05,0.000171729077336781,13.6574159443854,13.7959691263595,12.5841944871205,13.0032450545201,12.5970346790447,15.2350202432611,12.9381303734729,13.8812647780307,12.9309010616317,12.5358312610183
"A2ML1",484.632776426843,-2.74829502966347,0.569282841899749,-4.82764423479225,1.3815762082176e-06,4.32224802817732e-06,8.84817508885186,9.06247700347881,6.90973497976928,8.64431269074895,7.45708838164488,10.6228624738802,6.88545215352143,7.70838251021666,7.50056394414144,7.35120829990857
"A4GALT",412.311453419057,-2.79086152073907,0.571964408778492,-4.87943214281346,1.06391719688643e-06,3.37905172166417e-06,8.86885058219902,8.3449722016397,6.89512521860173,8.56866969298102,6.71050682404711,10.3629597800991,7.26056243865726,7.53376328175197,7.29236888119858,6.72367451833443
"AARD",124.885642992876,-2.10566248478543,0.537199987692927,-3.91969942856564,8.86594711670244e-05,0.000211537667239717,7.34710382441052,7.31459055899327,5.40273368531835,6.6362266317498,6.39501647071691,7.30607294951231,6.48445715775643,7.47066643722435,5.26476392037063,5.73739060594507
"AARS1",33645.6492834898,-1.56493412896536,0.270913093307285,-5.77651714747621,7.6262733488257e-09,3.15098375858349e-08,15.7575937245783,15.3452885801988,14.1334700443503,15.9089972757864,14.0370129861888,14.5663181623524,14.312565281149,15.5324909307072,14.1574863699932,14.1822866681703
"AATK",21134.6178447286,-3.68422487505097,0.358896144125614,-10.2654345424271,1.00865829729503e-24,1.95915401186915e-23,15.4123138509204,15.0653921613194,11.5324921746484,15.4657635942561,11.8282983253073,13.6756394723189,12.0563773020707,14.6287222494329,11.6418814039835,12.1511135810778
"ABAT",41616.2810881823,-1.22998340837903,0.181228659698615,-6.78691444512424,1.14557094445595e-11,6.58181804988237e-11,15.7730042273984,15.3450712148681,14.7555795286721,15.8993380895978,14.6957749099851,15.9501377300838,14.8995821217474,15.6514079383808,14.6405730593031,14.4377664874195
"ABCA1",5086.48779385413,1.50675083093068,0.510428241822663,2.95193468439422,0.00315789720926355,0.00586759388924694,10.7287575427611,11.0972860178145,13.1910351779803,10.7175103747179,12.9934833170565,12.6108038851083,12.2008471868363,10.8433130516208,13.0383721184741,11.5470238968396
"ABCA10",308.48150431336,-1.93959925465618,0.280296021228333,-6.91982442760454,4.522037389491e-12,2.71620901627507e-11,8.45902392288248,8.80671458072136,6.85848361289228,8.57509721959985,7.56190925101386,8.81751372303219,7.6141638979313,8.72692538467761,7.01714998461969,7.10200954740575
"ABCA12",143.817707632351,1.97719726135081,0.379009631927499,5.21674673885077,1.82092962078516e-07,6.36234867049929e-07,6.12794394019572,6.30416687940088,7.62150865849397,5.9088033760412,7.29944723963743,6.76287754468491,7.8721994388859,6.16826652812629,7.48885678646,6.98840602583956
"ABCA2",62802.1688657193,-2.49366352802097,0.331285320834957,-7.5272382179085,5.18247705020997e-14,3.84298693876721e-13,16.9248707769191,16.7644455695837,14.3721975911078,16.7845953506732,14.1747532555408,15.2029026513057,14.485433228879,16.2629203729506,14.3569077220526,14.5492162893285
"ABCA6",128.072317856928,-1.93847233473105,0.494206018858587,-3.92239726098059,8.76722815407303e-05,0.000209537972623471,6.64212183167897,7.36775484308253,6.09778995566824,6.87911283507515,6.09730794355686,7.55963677179574,6.60480936072013,7.65127442798371,6.0224649795499,5.33930590156172
"ABCA7",2276.25389158664,-1.74268927625049,0.468646362575139,-3.71855927073599,0.000200362282945398,0.000453624433536213,11.8764417211568,11.5045358349731,11.1338894798291,12.0577276535935,9.22335704238607,10.8297119411041,9.533952698,11.4391539674395,9.32746366151798,10.3725214175032
"ABCA8",2221.80756383727,-3.16043088484548,0.545766154768976,-5.79081509036282,7.00456588534412e-09,2.91357527988446e-08,11.2260601578579,12.3979633818401,8.69235454615356,11.0104359883154,10.0057133558541,11.4923296291371,9.36137201198159,11.8054618898807,8.26296223435767,7.24791455459099
"ABCA9",1460.0649885377,-1.69381407614665,0.455011428571712,-3.72257479655743,0.000197201463437903,0.000446860886151754,10.1460973180699,10.5001130641603,9.50691195932032,10.4946528491364,9.44786324520412,11.8770387015883,10.2341309226895,10.9411722348074,9.48442177894944,8.5267751979063
"ABCB1",2754.91790525487,-2.54113938916367,0.40364923120401,-6.29541491156548,3.06578696690231e-10,1.50095415754517e-09,11.7257266459321,11.5044907387735,9.50095293943723,11.0848987793228,9.72432916247862,12.9770664644256,10.3320228013759,11.7298559268807,9.89431337128127,9.66966114194735
"ABCC12",702.273390090005,-4.57042267845467,0.487162210331854,-9.38172662313299,6.49010720046426e-21,9.29106920614611e-20,9.95976806987486,9.71352330855307,5.2779749829595,10.0920621517612,7.2692360733823,9.31320589746957,6.43137395681201,10.4570689927016,5.82638300907796,6.01980104091974
"ABCC4",973.312715165353,1.41269768418273,0.42230717666513,3.34518985762568,0.000822262631428445,0.00168966009363572,8.64251299100921,9.10719814735506,10.8468711781064,8.07706517916406,10.2168885303781,10.0145212312302,9.92066409327843,9.16999573599198,10.3055738566212,10.0553045138314
"ABCC8",5877.95035058717,-2.16374625727356,0.366733137041737,-5.90005657718166,3.63376945249812e-09,1.56538616620433e-08,13.2627147381184,12.7737917243937,10.4649941993173,13.6613883588498,11.0790169191212,12.0272434103712,11.5777829434751,13.0168731014236,11.1494826280225,11.5618508311616
"ABCG2",4853.72097229109,-2.35109102790696,0.508130840668272,-4.62694022825875,3.71107558339492e-06,1.08586183941841e-05,12.1560031643951,12.3535096804269,10.0127823216964,11.5167418690933,10.8149444551888,14.0083232242031,11.374498475307,12.2768726481193,10.7995329775187,10.577171709488
"ABCG4",2932.88873948527,-1.85694871753784,0.354360636290023,-5.24027932949651,1.60333714310437e-07,5.64288540167009e-07,12.3618505510729,11.9558758548738,10.4056346373533,12.39653340112,10.3340219373569,10.8257054440917,10.9864783954099,11.9640895320651,10.3292580348347,9.98813317465682
