"","category","over_represented_pvalue","term","ontology"
"3273","GO:0006811",1.24965269803293e-41,"ion transport","BP"
"6874","GO:0023052",1.20797758173569e-34,"signaling","BP"
"3274","GO:0006812",1.90943264774896e-32,"cation transport","BP"
"3461","GO:0007154",4.51071385142142e-32,"cell communication","BP"
"13128","GO:0051049",9.64115682833129e-31,"regulation of transport","BP"
"1299","GO:0003008",1.85847203019169e-30,"system process","BP"
"10782","GO:0043269",9.92071069387784e-30,"regulation of ion transport","BP"
"18086","GO:0140352",7.93366073130831e-29,"export from cell","BP"
"8934","GO:0034220",1.18127637913302e-28,"ion transmembrane transport","BP"
"17309","GO:0098655",1.24747371604616e-28,"cation transmembrane transport","BP"
"12192","GO:0046903",2.17076623561603e-27,"secretion","BP"
"13825","GO:0055085",2.76419083368752e-26,"transmembrane transport","BP"
"8463","GO:0032940",5.94752189573437e-26,"secretion by cell","BP"
"8418","GO:0032879",6.50882429469854e-26,"regulation of localization","BP"
"3542","GO:0007268",2.03104030318393e-25,"chemical synaptic transmission","BP"
"17469","GO:0098916",2.03104030318393e-25,"anterograde trans-synaptic signaling","BP"
"17314","GO:0098660",2.7772349682468e-25,"inorganic ion transmembrane transport","BP"
"17658","GO:0099536",4.87728247195552e-25,"synaptic signaling","BP"
"6879","GO:0030001",6.0315714008155e-25,"metal ion transport","BP"
"17316","GO:0098662",6.59025818044615e-25,"inorganic cation transmembrane transport","BP"
"17659","GO:0099537",7.71835491659773e-25,"trans-synaptic signaling","BP"
"13032","GO:0050896",8.04505243008523e-25,"response to stimulus","BP"
"3272","GO:0006810",3.11262012038778e-23,"transport","BP"
"14935","GO:0065008",5.19805785896084e-23,"regulation of biological quality","BP"
"8187","GO:0032501",6.22998286143312e-23,"multicellular organismal process","BP"
"11098","GO:0044057",8.23384464801922e-23,"regulation of system process","BP"
"3472","GO:0007165",1.22697467758392e-21,"signal transduction","BP"
"10260","GO:0042221",3.39017477308803e-21,"response to chemical","BP"
"13235","GO:0051234",3.14821592907458e-20,"establishment of localization","BP"
"5291","GO:0015672",1.38851394568759e-19,"monovalent inorganic cation transport","BP"
"9215","GO:0034765",2.18182532129019e-19,"regulation of ion transmembrane transport","BP"
"3681","GO:0008015",3.19283427480869e-19,"blood circulation","BP"
"1304","GO:0003013",3.21707899941347e-19,"circulatory system process","BP"
"13125","GO:0051046",1.00873147866384e-18,"regulation of secretion","BP"
"11380","GO:0045055",1.46692587495008e-18,"regulated exocytosis","BP"
"13214","GO:0051179",1.60803358932859e-18,"localization","BP"
"9212","GO:0034762",2.92237754816504e-18,"regulation of transmembrane transport","BP"
"12772","GO:0048878",3.06930450127901e-18,"chemical homeostasis","BP"
"11159","GO:0044281",4.03718090480854e-18,"small molecule metabolic process","BP"
"15417","GO:0070887",6.97120873356537e-18,"cellular response to chemical stimulus","BP"
"12970","GO:0050804",8.64085481073657e-18,"modulation of chemical synaptic transmission","BP"
"17608","GO:0099177",1.23688393307504e-17,"regulation of trans-synaptic signaling","BP"
"13821","GO:0055080",1.27687237768126e-17,"cation homeostasis","BP"
"17369","GO:0098771",1.65512440218757e-17,"inorganic ion homeostasis","BP"
"12967","GO:0050801",1.66997427023715e-17,"ion homeostasis","BP"
"13846","GO:0055114",1.82280387198609e-17,"oxidation-reduction process","BP"
"6878","GO:0023061",3.15753784647619e-17,"signal release","BP"
"13239","GO:0051239",3.53411110393075e-17,"regulation of multicellular organismal process","BP"
"6492","GO:0019932",4.23468286118555e-17,"second-messenger-mediated signaling","BP"
"3541","GO:0007267",4.71480112736385e-17,"cell-cell signaling","BP"
"19363","GO:1903530",1.06943839631951e-16,"regulation of secretion by cell","BP"
"3489","GO:0007186",1.28845435479414e-16,"G protein-coupled receptor signaling pathway","BP"
"13494","GO:0051716",1.71840715948366e-16,"cellular response to stimulus","BP"
"3320","GO:0006887",2.03088944240992e-16,"exocytosis","BP"
"3275","GO:0006813",3.34667429324718e-16,"potassium ion transport","BP"
"13823","GO:0055082",8.60342791002748e-16,"cellular chemical homeostasis","BP"
"436","GO:0001505",1.75589272546855e-15,"regulation of neurotransmitter levels","BP"
"3308","GO:0006873",2.08436502787917e-15,"cellular ion homeostasis","BP"
"4893","GO:0010959",2.15334144693163e-15,"regulation of metal ion transport","BP"
"13809","GO:0055065",3.66053263068475e-15,"metal ion homeostasis","BP"
"15917","GO:0071805",4.17302235734163e-15,"potassium ion transmembrane transport","BP"
"19357","GO:1903522",5.4088278252268e-15,"regulation of blood circulation","BP"
"6873","GO:0023051",5.47215323992415e-15,"regulation of signaling","BP"
"6398","GO:0019725",5.51631131934936e-15,"cellular homeostasis","BP"
"6881","GO:0030003",6.29026021291466e-15,"cellular cation homeostasis","BP"
"3288","GO:0006836",8.64289085362031e-15,"neurotransmitter transport","BP"
"13018","GO:0050877",1.45500955012143e-14,"nervous system process","BP"
"3682","GO:0008016",2.33660458279041e-14,"regulation of heart contraction","BP"
"19651","GO:1904062",2.36718839291777e-14,"regulation of cation transmembrane transport","BP"
"18617","GO:1901700",2.60226623047794e-14,"response to oxygen-containing compound","BP"
"13894","GO:0060047",2.88903574557361e-14,"heart contraction","BP"
"4480","GO:0010033",3.49754054568918e-14,"response to organic substance","BP"
"1306","GO:0003015",5.00790870766714e-14,"heart process","BP"
"4778","GO:0010817",7.28774179708416e-14,"regulation of hormone levels","BP"
"10341","GO:0042391",7.40722090974056e-14,"regulation of membrane potential","BP"
"11160","GO:0044282",8.0576723263232e-14,"small molecule catabolic process","BP"
"10783","GO:0043270",9.22683227331328e-14,"positive regulation of ion transport","BP"
"10446","GO:0042592",1.54708344360535e-13,"homeostatic process","BP"
"3364","GO:0006955",2.0321183756133e-13,"immune response","BP"
"4669","GO:0010646",2.34130754476252e-13,"regulation of cell communication","BP"
"3153","GO:0006629",4.4943627057518e-13,"lipid metabolic process","BP"
"3310","GO:0006875",5.47109549469295e-13,"cellular metal ion homeostasis","BP"
"1303","GO:0003012",5.52924534908503e-13,"muscle system process","BP"
"16273","GO:0072507",5.60957040560264e-13,"divalent inorganic cation homeostasis","BP"
"3309","GO:0006874",9.5303222454817e-13,"cellular calcium ion homeostasis","BP"
"16270","GO:0072503",1.05045031496571e-12,"cellular divalent inorganic cation homeostasis","BP"
"13816","GO:0055074",1.08362218971721e-12,"calcium ion homeostasis","BP"
"3543","GO:0007269",1.11986862689741e-12,"neurotransmitter secretion","BP"
"17728","GO:0099643",1.11986862689741e-12,"signal release from synapse","BP"
"591","GO:0001775",2.4975128629e-12,"cell activation","BP"
"8111","GO:0032409",2.63962988639713e-12,"regulation of transporter activity","BP"
"14620","GO:0061337",3.11697015769685e-12,"cardiac conduction","BP"
"3279","GO:0006820",3.12914034974358e-12,"anion transport","BP"
"9550","GO:0035637",3.94426472201398e-12,"multicellular organismal signaling","BP"
"4359","GO:0009605",4.06906357962294e-12,"response to external stimulus","BP"
"12701","GO:0048731",4.26165418394219e-12,"system development","BP"
"13129","GO:0051050",8.11721951370809e-12,"positive regulation of transport","BP"
"10883","GO:0043436",8.69977275948289e-12,"oxoacid metabolic process","BP"
"3361","GO:0006952",8.92137533752121e-12,"defense response","BP"
"2789","GO:0006082",9.69130420592968e-12,"organic acid metabolic process","BP"
"6858","GO:0022898",1.1196592936908e-11,"regulation of transmembrane transporter activity","BP"
"8114","GO:0032412",1.71983193625161e-11,"regulation of ion transmembrane transporter activity","BP"
"12443","GO:0048167",2.40919335542243e-11,"regulation of synaptic plasticity","BP"
"13240","GO:0051240",3.38887446401795e-11,"positive regulation of multicellular organismal process","BP"
"6378","GO:0019637",3.9647091104206e-11,"organophosphate metabolic process","BP"
"3277","GO:0006816",4.41723470331631e-11,"calcium ion transport","BP"
"6407","GO:0019752",4.91682533033619e-11,"carboxylic acid metabolic process","BP"
"3363","GO:0006954",5.64388943807622e-11,"inflammatory response","BP"
"15383","GO:0070838",5.81471101333553e-11,"divalent metal ion transport","BP"
"3352","GO:0006936",7.34153650332628e-11,"muscle contraction","BP"
"18569","GO:1901615",1.01975190611033e-10,"organic hydroxy compound metabolic process","BP"
"15624","GO:0071310",1.05131519313276e-10,"cellular response to organic substance","BP"
"8363","GO:0032787",1.1507607123713e-10,"monocarboxylic acid metabolic process","BP"
"11146","GO:0044255",1.2228486552103e-10,"cellular lipid metabolic process","BP"
"16275","GO:0072511",1.361272173584e-10,"divalent inorganic cation transport","BP"
"12972","GO:0050806",1.39150951584822e-10,"positive regulation of synaptic transmission","BP"
"12755","GO:0048856",1.85834741130408e-10,"anatomical structure development","BP"
"21494","GO:2001257",1.9926341259552e-10,"regulation of cation channel activity","BP"
"5485","GO:0016054",2.11362890035612e-10,"organic acid catabolic process","BP"
"11953","GO:0046395",2.11362890035612e-10,"carboxylic acid catabolic process","BP"
"4363","GO:0009611",2.20603254242711e-10,"response to wounding","BP"
"2796","GO:0006091",2.21173975700778e-10,"generation of precursor metabolites and energy","BP"
"13375","GO:0051480",2.81951324739041e-10,"regulation of cytosolic calcium ion concentration","BP"
"974","GO:0002376",2.90013181391183e-10,"immune system process","BP"
"17352","GO:0098739",3.4083868592077e-10,"import across plasma membrane","BP"
"6032","GO:0017157",4.90243699960469e-10,"regulation of exocytosis","BP"
"4393","GO:0009725",5.03433184182825e-10,"response to hormone","BP"
"4985","GO:0014070",5.56769853753641e-10,"response to organic cyclic compound","BP"
"5309","GO:0015711",5.98031215166988e-10,"organic anion transport","BP"
"17313","GO:0098659",6.37926488459912e-10,"inorganic cation import across plasma membrane","BP"
"17696","GO:0099587",6.37926488459912e-10,"inorganic ion import across plasma membrane","BP"
"4482","GO:0010035",7.19264701905077e-10,"response to inorganic substance","BP"
"899","GO:0002252",7.72055748781771e-10,"immune effector process","BP"
"3264","GO:0006796",8.78383588628163e-10,"phosphate-containing compound metabolic process","BP"
"4446","GO:0009914",9.64562478639553e-10,"hormone transport","BP"
"11161","GO:0044283",1.04363517020469e-09,"small molecule biosynthetic process","BP"
"10193","GO:0042060",1.0695101746199e-09,"wound healing","BP"
"18615","GO:1901698",1.20616324985305e-09,"response to nitrogen compound","BP"
"3504","GO:0007204",1.24463494054606e-09,"positive regulation of cytosolic calcium ion concentration","BP"
"3263","GO:0006793",1.30467566844586e-09,"phosphorus metabolic process","BP"
"5500","GO:0016079",1.90960094082835e-09,"synaptic vesicle exocytosis","BP"
"5546","GO:0016192",2.00394644174561e-09,"vesicle-mediated transport","BP"
"17526","GO:0099003",2.18004355232888e-09,"vesicle-mediated transport in synapse","BP"
"6859","GO:0022900",2.1926440420492e-09,"electron transport chain","BP"
"13019","GO:0050878",2.34142443698994e-09,"regulation of body fluid levels","BP"
"3490","GO:0007187",2.72095631004307e-09,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","BP"
"17311","GO:0098657",2.79080047324371e-09,"import into cell","BP"
"12175","GO:0046879",2.8607845367202e-09,"hormone secretion","BP"
