"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"16002","GO:0071944",2.50975607008756e-60,1,1324,3852,"cell periphery","CC"
"2674","GO:0005886",6.29946355101069e-59,1,1294,3758,"plasma membrane","CC"
"5466","GO:0016020",1.27840350252055e-47,1,2108,6959,"membrane","CC"
"7475","GO:0031224",1.44081450371926e-45,1,1240,3674,"intrinsic component of membrane","CC"
"5467","GO:0016021",2.3070491876854e-42,1,1197,3566,"integral component of membrane","CC"
"3273","GO:0006811",1.24965269803293e-41,1,531,1299,"ion transport","BP"
"6874","GO:0023052",1.20797758173569e-34,1,1482,4784,"signaling","BP"
"3274","GO:0006812",1.90943264774896e-32,1,380,906,"cation transport","BP"
"3461","GO:0007154",4.51071385142142e-32,1,1475,4801,"cell communication","BP"
"13128","GO:0051049",9.64115682833129e-31,1,545,1457,"regulation of transport","BP"
"1299","GO:0003008",1.85847203019169e-30,1,505,1338,"system process","BP"
"10782","GO:0043269",9.92071069387784e-30,1,254,549,"regulation of ion transport","BP"
"2488","GO:0005576",7.12299500486488e-29,1,949,2819,"extracellular region","CC"
"18086","GO:0140352",7.93366073130831e-29,1,454,1164,"export from cell","BP"
"8934","GO:0034220",1.18127637913302e-28,1,370,914,"ion transmembrane transport","BP"
"17309","GO:0098655",1.24747371604616e-28,1,300,695,"cation transmembrane transport","BP"
"12192","GO:0046903",2.17076623561603e-27,1,465,1215,"secretion","BP"
"7477","GO:0031226",1.09901577633301e-26,1,452,1209,"intrinsic component of plasma membrane","CC"
"13825","GO:0055085",2.76419083368752e-26,1,466,1240,"transmembrane transport","BP"
"8463","GO:0032940",5.94752189573437e-26,1,433,1125,"secretion by cell","BP"
"8418","GO:0032879",6.50882429469854e-26,1,752,2250,"regulation of localization","BP"
"2675","GO:0005887",1.98426641298218e-25,1,428,1146,"integral component of plasma membrane","CC"
"3542","GO:0007268",2.03104030318393e-25,1,267,627,"chemical synaptic transmission","BP"
"17469","GO:0098916",2.03104030318393e-25,1,267,627,"anterograde trans-synaptic signaling","BP"
"17314","GO:0098660",2.7772349682468e-25,1,282,667,"inorganic ion transmembrane transport","BP"
"17658","GO:0099536",4.87728247195552e-25,1,275,654,"synaptic signaling","BP"
"6879","GO:0030001",6.0315714008155e-25,1,289,692,"metal ion transport","BP"
