"","category","over_represented_pvalue","term","ontology"
"16719","GO:0090304",1.03120856849341e-85,"nucleic acid metabolic process","BP"
"2824","GO:0006139",4.19564808165558e-73,"nucleobase-containing compound metabolic process","BP"
"11993","GO:0046483",2.30931800260003e-69,"heterocycle metabolic process","BP"
"5491","GO:0016070",2.82150485760306e-69,"RNA metabolic process","BP"
"3223","GO:0006725",4.10621495501807e-69,"cellular aromatic compound metabolic process","BP"
"18479","GO:1901360",2.33057286488573e-63,"organic cyclic compound metabolic process","BP"
"2940","GO:0006351",7.39992594231366e-62,"transcription, DNA-templated","BP"
"8352","GO:0032774",1.13277626805796e-60,"RNA biosynthetic process","BP"
"17203","GO:0097659",1.48852355444121e-60,"nucleic acid-templated transcription","BP"
"2944","GO:0006355",5.3532898308634e-60,"regulation of transcription, DNA-templated","BP"
"6258","GO:0019219",5.43680524875956e-60,"regulation of nucleobase-containing compound metabolic process","BP"
"9138","GO:0034645",8.56312339828165e-59,"cellular macromolecule biosynthetic process","BP"
"19343","GO:1903506",2.23763517240107e-58,"regulation of nucleic acid-templated transcription","BP"
"21432","GO:2001141",4.50130560941961e-58,"regulation of RNA biosynthetic process","BP"
"13248","GO:0051252",4.74473529547769e-58,"regulation of RNA metabolic process","BP"
"20927","GO:2000112",1.55532923677284e-56,"regulation of cellular macromolecule biosynthetic process","BP"
"4125","GO:0009059",2.02620874687556e-56,"macromolecule biosynthetic process","BP"
"4607","GO:0010556",2.74393651766779e-54,"regulation of macromolecule biosynthetic process","BP"
"2946","GO:0006357",2.24842130443284e-53,"regulation of transcription by RNA polymerase II","BP"
"2953","GO:0006366",5.7172798932358e-53,"transcription by RNA polymerase II","BP"
"9134","GO:0034641",3.02910466964353e-52,"cellular nitrogen compound metabolic process","BP"
"9145","GO:0034654",6.10198301524131e-52,"nucleobase-containing compound biosynthetic process","BP"
"6087","GO:0018130",2.75106392091636e-49,"heterocycle biosynthetic process","BP"
"4572","GO:0010468",4.26915304846993e-49,"regulation of gene expression","BP"
"7536","GO:0031326",6.65657961400157e-49,"regulation of cellular biosynthetic process","BP"
"6333","GO:0019438",6.98134518997683e-49,"aromatic compound biosynthetic process","BP"
"4434","GO:0009889",7.8850831559539e-48,"regulation of biosynthetic process","BP"
"18481","GO:1901362",1.58377243227288e-45,"organic cyclic compound biosynthetic process","BP"
"4571","GO:0010467",7.94614201405801e-45,"gene expression","BP"
"11155","GO:0044271",3.29541099770237e-42,"cellular nitrogen compound biosynthetic process","BP"
"14025","GO:0060255",9.0801412376312e-38,"regulation of macromolecule metabolic process","BP"
"13208","GO:0051171",3.788500929171e-33,"regulation of nitrogen compound metabolic process","BP"
"16419","GO:0080090",1.85049356482964e-32,"regulation of primary metabolic process","BP"
"6261","GO:0019222",4.54672556585402e-31,"regulation of metabolic process","BP"
"10717","GO:0043170",3.18761458592228e-30,"macromolecule metabolic process","BP"
"7533","GO:0031323",3.35352658963738e-30,"regulation of cellular metabolic process","BP"
"11149","GO:0044260",7.8094292446124e-30,"cellular macromolecule metabolic process","BP"
"11145","GO:0044249",4.81202111984087e-29,"cellular biosynthetic process","BP"
"18554","GO:1901576",9.2305384961125e-29,"organic substance biosynthetic process","BP"
"4124","GO:0009058",5.63240133515498e-28,"biosynthetic process","BP"
"13265","GO:0051276",1.12747946682781e-27,"chromosome organization","BP"
"3269","GO:0006807",1.55125379303561e-21,"nitrogen compound metabolic process","BP"
"2883","GO:0006259",6.22633966077524e-18,"DNA metabolic process","BP"
"2884","GO:0006260",6.53930216174132e-18,"DNA replication","BP"
