"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1524","GO:0003677",1.34971544297884e-104,1,804,1959,"DNA binding","MF"
"20814","GO:1990837",2.07528618935902e-87,1,554,1222,"sequence-specific double-stranded DNA binding","MF"
"10961","GO:0043565",9.15038053903064e-87,1,582,1315,"sequence-specific DNA binding","MF"
"16719","GO:0090304",1.03120856849341e-85,1,1321,4306,"nucleic acid metabolic process","BP"
"361","GO:0000977",3.79365768578177e-85,1,505,1078,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF"
"1532","GO:0003690",6.74933954465865e-85,1,572,1299,"double-stranded DNA binding","MF"
"360","GO:0000976",4.70029665066371e-84,1,528,1156,"transcription regulatory region sequence-specific DNA binding","MF"
"382","GO:0001067",7.61433442903706e-84,1,528,1157,"regulatory region nucleic acid binding","MF"
"1536","GO:0003700",1.80615713299865e-83,1,524,1148,"DNA-binding transcription factor activity","MF"
"364","GO:0000981",1.40179224499744e-81,1,505,1096,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"2824","GO:0006139",4.19564808165558e-73,1,1379,4748,"nucleobase-containing compound metabolic process","BP"
"18044","GO:0140110",1.91136770535355e-72,1,624,1571,"transcription regulator activity","MF"
"1523","GO:0003676",3.24106458904672e-72,1,1056,3305,"nucleic acid binding","MF"
"11993","GO:0046483",2.30931800260003e-69,1,1393,4871,"heterocycle metabolic process","BP"
"5491","GO:0016070",2.82150485760306e-69,1,1174,3862,"RNA metabolic process","BP"
"3223","GO:0006725",4.10621495501807e-69,1,1399,4901,"cellular aromatic compound metabolic process","BP"
"362","GO:0000978",1.24213774705815e-68,1,415,885,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF"
"365","GO:0000987",2.83681184282032e-67,1,419,905,"cis-regulatory region sequence-specific DNA binding","MF"
"2517","GO:0005634",1.04151532099544e-64,1,1699,6343,"nucleus","CC"
"18479","GO:1901360",2.33057286488573e-63,1,1413,5058,"organic cyclic compound metabolic process","BP"
"2940","GO:0006351",7.39992594231366e-62,1,938,2889,"transcription, DNA-templated","BP"
"8352","GO:0032774",1.13277626805796e-60,1,948,2946,"RNA biosynthetic process","BP"
"17203","GO:0097659",1.48852355444121e-60,1,945,2934,"nucleic acid-templated transcription","BP"
"2944","GO:0006355",5.3532898308634e-60,1,894,2721,"regulation of transcription, DNA-templated","BP"
"6258","GO:0019219",5.43680524875956e-60,1,1025,3262,"regulation of nucleobase-containing compound metabolic process","BP"
"2558","GO:0005694",2.87227830256486e-59,1,584,1550,"chromosome","CC"
"9138","GO:0034645",8.56312339828165e-59,1,1182,4021,"cellular macromolecule biosynthetic process","BP"
"19343","GO:1903506",2.23763517240107e-58,1,902,2774,"regulation of nucleic acid-templated transcription","BP"
"21432","GO:2001141",4.50130560941961e-58,1,902,2778,"regulation of RNA biosynthetic process","BP"
"13248","GO:0051252",4.74473529547769e-58,1,963,3024,"regulation of RNA metabolic process","BP"
"20927","GO:2000112",1.55532923677284e-56,1,985,3142,"regulation of cellular macromolecule biosynthetic process","BP"
"4125","GO:0009059",2.02620874687556e-56,1,1199,4129,"macromolecule biosynthetic process","BP"
"4607","GO:0010556",2.74393651766779e-54,1,998,3227,"regulation of macromolecule biosynthetic process","BP"
"2946","GO:0006357",2.24842130443284e-53,1,702,2028,"regulation of transcription by RNA polymerase II","BP"
"2953","GO:0006366",5.7172798932358e-53,1,733,2163,"transcription by RNA polymerase II","BP"
"9134","GO:0034641",3.02910466964353e-52,1,1432,5350,"cellular nitrogen compound metabolic process","BP"
"9145","GO:0034654",6.10198301524131e-52,1,1013,3357,"nucleobase-containing compound biosynthetic process","BP"
"6087","GO:0018130",2.75106392091636e-49,1,1015,3409,"heterocycle biosynthetic process","BP"
"4572","GO:0010468",4.26915304846993e-49,1,1123,3850,"regulation of gene expression","BP"
"7536","GO:0031326",6.65657961400157e-49,1,1005,3337,"regulation of cellular biosynthetic process","BP"
"6333","GO:0019438",6.98134518997683e-49,1,1015,3413,"aromatic compound biosynthetic process","BP"
"4434","GO:0009889",7.8850831559539e-48,1,1018,3410,"regulation of biosynthetic process","BP"
"110","GO:0000228",2.247889042712e-46,1,436,1128,"nuclear chromosome","CC"
"18481","GO:1901362",1.58377243227288e-45,1,1026,3521,"organic cyclic compound biosynthetic process","BP"
"4571","GO:0010467",7.94614201405801e-45,1,1287,4749,"gene expression","BP"
"282","GO:0000785",3.82826834666796e-43,1,417,1085,"chromatin","CC"
"11155","GO:0044271",3.29541099770237e-42,1,1110,3994,"cellular nitrogen compound biosynthetic process","BP"
"7855","GO:0031981",5.99542930054002e-41,1,1177,4298,"nuclear lumen","CC"
"18482","GO:1901363",2.63651337254948e-38,1,1317,4928,"heterocyclic compound binding","MF"
"14025","GO:0060255",9.0801412376312e-38,1,1363,5122,"regulation of macromolecule metabolic process","BP"
"286","GO:0000790",5.98205246312781e-37,1,358,930,"nuclear chromatin","CC"
"16971","GO:0097159",6.01657022415461e-37,1,1324,4988,"organic cyclic compound binding","MF"
"13208","GO:0051171",3.788500929171e-33,1,1250,4688,"regulation of nitrogen compound metabolic process","BP"
"16419","GO:0080090",1.85049356482964e-32,1,1281,4847,"regulation of primary metabolic process","BP"
"17370","GO:0098772",7.25221009860609e-32,1,828,2848,"molecular function regulator","MF"
"6261","GO:0019222",4.54672556585402e-31,1,1426,5568,"regulation of metabolic process","BP"
"10759","GO:0043232",6.92758088546578e-31,1,1153,4330,"intracellular non-membrane-bounded organelle","CC"
"10755","GO:0043228",1.11290473793235e-30,1,1154,4338,"non-membrane-bounded organelle","CC"
"10717","GO:0043170",3.18761458592228e-30,1,1846,7698,"macromolecule metabolic process","BP"
"7533","GO:0031323",3.35352658963738e-30,1,1312,5036,"regulation of cellular metabolic process","BP"
"11149","GO:0044260",7.8094292446124e-30,1,1657,6738,"cellular macromolecule metabolic process","BP"
"11145","GO:0044249",4.81202111984087e-29,1,1260,4946,"cellular biosynthetic process","BP"
"18554","GO:1901576",9.2305384961125e-29,1,1277,5038,"organic substance biosynthetic process","BP"
"4124","GO:0009058",5.63240133515498e-28,1,1285,5094,"biosynthetic process","BP"
"13265","GO:0051276",1.12747946682781e-27,1,368,1057,"chromosome organization","BP"
"12169","GO:0046872",1.80061293791886e-23,1,955,3486,"metal ion binding","MF"
"10716","GO:0043169",7.77236152498853e-22,1,961,3555,"cation binding","MF"
"3269","GO:0006807",1.55125379303561e-21,1,1863,8074,"nitrogen compound metabolic process","BP"
"7853","GO:0031974",7.36633814381945e-21,1,1267,5216,"membrane-enclosed lumen","CC"
"10760","GO:0043233",7.36633814381945e-21,1,1267,5216,"organelle lumen","CC"
"14945","GO:0070013",7.36633814381945e-21,1,1267,5216,"intracellular organelle lumen","CC"
"2527","GO:0005654",3.98653463417638e-19,1,916,3552,"nucleoplasm","CC"
"2883","GO:0006259",6.22633966077524e-18,1,268,826,"DNA metabolic process","BP"
"2884","GO:0006260",6.53930216174132e-18,1,114,259,"DNA replication","BP"
"15534","GO:0071103",9.40847390546061e-18,1,118,267,"DNA conformation change","BP"
"11733","GO:0045892",1.01247212728309e-17,1,330,1034,"negative regulation of transcription, DNA-templated","BP"
"17324","GO:0098687",1.722809103212e-17,1,129,311,"chromosomal region","CC"
"13283","GO:0051301",5.07546681984535e-17,1,195,541,"cell division","BP"
"19344","GO:1903507",5.22345667718169e-17,1,336,1069,"negative regulation of nucleic acid-templated transcription","BP"
"18966","GO:1902679",5.84459687337951e-17,1,336,1070,"negative regulation of RNA biosynthetic process","BP"
"20928","GO:2000113",8.03602651424908e-17,1,372,1212,"negative regulation of cellular macromolecule biosynthetic process","BP"
"11140","GO:0044238",3.47279329072344e-16,1,1902,8446,"primary metabolic process","BP"
"3426","GO:0007059",3.49827891372734e-16,1,121,297,"chromosome segregation","BP"
"4609","GO:0010558",4.76565925187037e-16,1,380,1257,"negative regulation of macromolecule biosynthetic process","BP"
"11764","GO:0045934",5.21951418014607e-16,1,375,1240,"negative regulation of nucleobase-containing compound metabolic process","BP"
"13249","GO:0051253",5.49449635114773e-16,1,353,1153,"negative regulation of RNA metabolic process","BP"
"6801","GO:0022402",1.54394741849068e-15,1,363,1225,"cell cycle process","BP"
"272","GO:0000775",1.57725351690207e-15,1,86,186,"chromosome, centromeric region","CC"
"133","GO:0000278",3.21369929340072e-15,1,289,940,"mitotic cell cycle","BP"
"19130","GO:1903047",4.12583989859908e-15,1,255,808,"mitotic cell cycle process","BP"
"289","GO:0000793",7.8967310235688e-15,1,88,198,"condensed chromosome","CC"
"2929","GO:0006325",9.08822889590336e-15,1,226,665,"chromatin organization","BP"
"7537","GO:0031327",1.15540624347422e-14,1,384,1301,"negative regulation of cellular biosynthetic process","BP"
"309","GO:0000819",1.2610736182951e-14,1,83,183,"sister chromatid segregation","BP"
"3420","GO:0007049",1.9436750517768e-14,1,454,1628,"cell cycle","BP"
"17395","GO:0098813",2.69077581507722e-14,1,99,238,"nuclear chromosome segregation","BP"
"1528","GO:0003682",2.83505344539117e-14,1,183,506,"chromatin binding","MF"
"12959","GO:0050789",3.66621799570767e-14,1,2003,8822,"regulation of biological process","BP"
"276","GO:0000779",3.68913856596501e-14,1,60,118,"condensed chromosome, centromeric region","CC"
"4435","GO:0009890",7.96406890498977e-14,1,386,1328,"negative regulation of biosynthetic process","BP"
"59","GO:0000122",1.65077073782732e-13,1,242,756,"negative regulation of transcription by RNA polymerase II","BP"
"134","GO:0000280",1.75045049177758e-13,1,135,365,"nuclear division","BP"
"12963","GO:0050794",1.86379991412799e-13,1,1922,8410,"regulation of cellular process","BP"
"15881","GO:0071704",2.23006759877365e-13,1,1961,8852,"organic substance metabolic process","BP"
"4653","GO:0010629",2.81153403857664e-13,1,484,1781,"negative regulation of gene expression","BP"
"2899","GO:0006281",3.50222640625925e-13,1,174,522,"DNA repair","BP"
"2885","GO:0006261",5.90633951887307e-13,1,68,147,"DNA-dependent DNA replication","BP"
"2935","GO:0006338",9.89669698602883e-13,1,79,173,"chromatin remodeling","BP"
"274","GO:0000777",1.893437596466e-12,1,52,103,"condensed chromosome kinetochore","CC"
